Номер,Название,Город,Адрес,Период,Иконка,Состояние
661720995140005,Екатеринбургский земско-городской родильный дом,Екатеринбург,"г. Екатеринбург, ул. Декабристов, д. 32",с 1880 до 1900,Ансамбль,Ансамбль
661720995160005,Госпиталь Верх-Исетского завода,Екатеринбург,"г. Екатеринбург, ул. Верх-Исетский бульвар",с 1800 до 1850,Ансамбль,Ансамбль
661720995170006,Покровский монастырь,Верхотурье,"г. Верхотурье, ул. Дементьева",с 1800 до 1850,Ансамбль,Ансамбль
661720995250005,Ансамбль застройки,Екатеринбург,"г. Екатеринбург, ул. Культуры",с 1920 до 1940,Ансамбль,Ансамбль
661720998460005,"Гостиница ""Эрмитаж"" В.Г. Черепанова",Екатеринбург,"г. Екатеринбург, ул. Пушкина, д. 7",с 1880 до 1900,Ансамбль,Ансамбль
661720998480005,Усадьба купца М.О. Назарова,Екатеринбург,"г. Екатеринбург, ул. Первомайская, д. 11",с 1850 до 1880,Ансамбль,Ансамбль
661720998500005,"Усадьба ""Товарищества А. Печенкина и К""",Екатеринбург,"г. Екатеринбург, ул. Пушкина, д. 2/ул. Малышева, д. 39",с 1850 до 1880,Ансамбль,Ансамбль
661720998530005,Усадьба Филитц,Екатеринбург,"г. Екатеринбург, ул. Мамина-Сибиряка, д. 187",с 1880 до 1900,Ансамбль,Ансамбль
661720998530015,Территория сада с прудом,Екатеринбург,"г. Екатеринбург, ул. Мамина-Сибиряка, д. 187",с 1880 до 1900,Ансамбль,Не доступен
661720998540005,Здание в стиле модерн,Екатеринбург,"г. Екатеринбург, ул. Февральской революции, д. 27",период не определен,Ансамбль,Хорошее
661721004710005,"Комплекс промышленной архитектуры ""Зязинская мельница""",Ирбит,"г. Ирбит, ул. Советская, д. 62",период не определен,Ансамбль,Ансамбль
661721004720005,Комплекс,Невьянск,"г. Невьянск, ул. Энгельса, д. 40-42",с 1900 до 1920,Ансамбль,Ансамбль
661721004740005,Усадьба купца А.Л. Войтехова,Невьянск,"г. Невьянск, ул. Кирова, д. 16-18",с 1880 до 1900,Ансамбль,Ансамбль
661721004760005,Комплекс жилых зданий (конструктивизм),Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 5",с 1920 до 1940,Ансамбль,Хорошее
661721004880005,"Комплекс зданий бывших Оровайских казарм, где зародился Первый Уральский стрелковый полк",Екатеринбург,"г. Екатеринбург, ул. Луначарского, д. 215",с 1900 до 1920,Ансамбль,Не доступен
661721004940005,Усадьба купца А.А. Волкова,Екатеринбург,"г. Екатеринбург, ул. Малышева, д. 64 / ул. Гоголя, д. 1",с 1850 до 1880,Ансамбль,Ансамбль
661721004960005,Усадьба Первушина,Екатеринбург,"г. Екатеринбург, ул. Декабристов, д. 40",с 1850 до 1880,Ансамбль,Ансамбль
661721004970005,Усадьба Казанцевых,Екатеринбург,"г. Екатеринбург, ул. Декабристов, д. 36-38",с 1800 до 1850,Ансамбль,Ансамбль
661721004980005,Усадьба камнереза Трапезникова,Екатеринбург,"г. Екатеринбург, ул. Розы Люксембург, д. 14а",с 1880 до 1900,Ансамбль,Ансамбль
661721017100005,Усадьба купцов Ермолаевых,Екатеринбург,"г. Екатеринбург, ул. Сакко и Ванцетти, д. 58а",с 1900 до 1920,Ансамбль,Ансамбль
661721017110005,Усадьба Блохиной,Екатеринбург,"г. Екатеринбург, ул. Декабристов, д. 34 / 66",с 1850 до 1880,Ансамбль,Ансамбль
661721017150005,Невьянский механический завод,Невьянск,"г. Невьянск, территория Невьянского механического завода",с 1850 до 1880,Ансамбль,Не доступен
661721035360005,Уездная больница,Верхотурье,"г. Верхотурье, ул. Комсомольская, 6, 8, 10",период не определен,Ансамбль,Ансамбль
661721035370005,Усадьба,Верхотурье,"г. Верхотурье, ул. Ленина, д. 27",с 1850 до 1880,Ансамбль,Ансамбль
661721035400005,Усадьба Кокшаровых,Екатеринбург,"г. Екатеринбург, ул. Боевых дружин, д. 26 /15",с 1850 до 1880,Ансамбль,Удовлетворительное
661721035410005,Усадьба купцов Тарасовых,Екатеринбург,"г. Екатеринбург, ул. Горького, 21-23",с 1900 до 1920,Ансамбль,Ансамбль
661721035420005,Усадьба М.А. Нурова,Екатеринбург,"г. Екатеринбург, ул. Чапаева, д. 1",с 1800 до 1850,Ансамбль,Ансамбль
