Номер,Название,Город,Адрес,Период,Иконка,Состояние
661610732370006,Загородная дача архитектора Малахова М.П.,Екатеринбург,"г. Екатеринбург, ул. Луначарского, д. 173а",с 1800 до 1850,Домик,Удовлетворительное
661610732460005,Дом Дьяконовой в духе эклектики,Екатеринбург,"г. Екатеринбург, ул. Белинского, д. 11",с 1880 до 1900,Домик,Руины
661610732980005,Гимназия женская,Екатеринбург,"г. Екатеринбург, ул. Вайнера, д. 2 / ул. Антона Валека, д.11",с 1920 до 1940,Дворец,Удовлетворительное
661610733050005,Здание Уральского горного училища,Екатеринбург,"г. Екатеринбург, проспект Ленина, д. 28 / ул. Воеводина, д. 2",с 1880 до 1900,Дворец,Хорошее
661610733070005,Доходный дом купца Е.Е. Емельянова,Екатеринбург,"г. Екатеринбург, ул. Вайнера, д.12 / ул. Попова, д. 2",с 1850 до 1880,Домик,Удовлетворительное
661610733100006,"Здание мужской гимназии, где были созданы первые революционные и марксистские кружки на Урале",Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 33",с 1880 до 1900,Домик,Удовлетворительное
661610733150005,"Книжный магазин Куренщиковой, использовавшийся в 1905 г. как место большевистской явки",Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 38",с 1900 до 1920,Дворец,Удовлетворительное
661610733220005,Дом Связи,Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 39",с 1920 до 1940,Многоэтажка,Хорошее
661610733230006,Клуб строителей (киностудия),Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 50",с 1920 до 1940,Многоэтажка,Удовлетворительное
661610733270005,Дом жилой с магазином (дом Телегиных),Екатеринбург,"г. Екатеринбург, ул. Попова, д. 1/ ул. Вайнера, д. 14",с 1850 до 1880,Домик,Удовлетворительное
661610733340005,Доходный дом М.И. и В.И. Дмитриевых,Екатеринбург,"г. Екатеринбург, ул. Вайнера, д. 16",с 1880 до 1900,Домик,Удовлетворительное
661610733360005,Здание Сибирского торгового банка,Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 27",с 1900 до 1920,Домик,Удовлетворительное
661610733390005,Доходный дом Хребтовой,Екатеринбург,"г. Екатеринбург, ул. Вайнера, д. 26",с 1850 до 1880,Дворец,Хорошее
661610735280004,Магазин,Екатеринбург,"г. Екатеринбург, ул. 8 Марта, д. 19, литер Б",с 1900 до 1920,Домик,Удовлетворительное
661610735290005,Здание бывшего жилого дома чиновника Смородинцева,Ирбит,"г. Ирбит, ул. Орджоникидзе, д. 18",период не определен,Домик,Руины
661610735300005,Дом А.Д. Андреевой,Екатеринбург,"г. Екатеринбург, ул. Белинского, д. 59",с 1880 до 1900,Домик,Руины
661610735310006,Странноприимный дом (монастырская гостиница),Екатеринбург,"г. Екатеринбург, ул. 8 Марта, д. 68 / ул. Декабристов, д. 56, литера А",с 1800 до 1850,Домик,Хорошее
661610735320005,Дом крестьянина им. В.И. Ленина,Екатеринбург,"г. Екатеринбург, ул. 8 Марта, д. 36",период не определен,Многоэтажка,Хорошее
661610735330005,Часовня,Екатеринбург,"г. Екатеринбург, ул. 8 Марта",с 1900 до 1920,Церковь,Хорошее
661610735340005,Дом жилой,Екатеринбург,"г. Екатеринбург, ул. 8 Марта, д. 16",с 1880 до 1900,Домик,Удовлетворительное
661610735350005,"Дом фабриканта, богатый художественной лепкой во внутренних помещениях",Екатеринбург,"г. Екатеринбург, ул. Пролетарская, д. 3",с 1880 до 1900,Завод,Хорошее
661610735360005,Дом купцов Яковлевых - А.Е. Борчанинова,Екатеринбург,"г. Екатеринбург, ул. 8 Марта, д. 18",с 1880 до 1900,Домик,Плохое
